Year,Month,Total Violation
2014, January,102838
2014,February,105003
2014,March,121775
2014,April,138444
2014,May,142756
2014,June,145755
2014,July,154355
2014,August,152048
2014,September,153701
2014,October,148098
2014,November,115101
2014,December,117261
2015,January,118193
2015,February,107736
2015,March,143692
2015,April,154798
2015,May,150095
2015,June,148706
2015,July,156734
2015,August,156735
2015,September,148601
2015,October,147469
2015,November,120686
2015,December,132849
2016,January,90049
2016,February,114361
2016,March,150707
2016,April,260404
2016,May,135175
2016,June,259197
2016,July,256347
2016,August,263049
2016,September,242133
2016,October,252001
2016,November,190595
2016,December,190351
2017,January,174953
2017,February,95309
2017,March,116326
2017,April,114932
2017,May,125832
2017,June,125923
2017,July,105737
2017,August,120391
2017,September,107066
2017,October,119889
2017,November,104177
2017,December,93505
2018,January,101184
2018,February,106535
2018,March,124460
2018,April,120197
2018,May,124880
2018,June,124395
2018,July,116603
2018,August,132299
2018,September,103414
2018,October,127153
2018,November,93224
2018,December,91761
